"Variables","Estimate","Std. Error","t value","Pr(>|t|)","significance"
"CompanySnapchat",391953.1031663,81439.7965714095,4.81279570513932,1.49895229112224e-06,"***"
"CompanySnowflake",184436.248578304,71542.9548757215,2.57797918605251,0.00994492750429359,"**"
"CompanySofi",206465.409734641,59283.1428922556,3.48270013467206,0.000497420795106774,"***"
"CompanySonos",-2695.54904741119,68901.3371340271,-0.0391218684503583,0.96879360758732,""
"CompanySony",40222.8760498367,62280.0299672495,0.645839060626468,0.518390833085107,""
"CompanySophos",34743.6365538327,81500.8610201013,0.426297785311293,0.669895357124046,""
"CompanySpacex",94191.8221767068,75437.0966717387,1.24861409482099,0.211820544104586,""
"CompanySplunk",120444.400601607,54741.9401661502,2.2002216259789,0.0278023132439656,"*"
"CompanySpotify",63099.6542351202,55387.245717028,1.13924520741643,0.254614235123578,""
"CompanySprout Social",23665.2624987708,63520.5356008822,0.372560814780696,0.709479201422561,""
"CompanySquare",144330.499004139,54687.4772454901,2.63918736562385,0.00831680306250046,"**"
"CompanySquarespace",36500.5724035612,56644.7588157232,0.64437687028212,0.519338304721516,""
"CompanyStarbucks",-13979.0220825867,62282.6989776427,-0.22444470634782,0.822413528916597,""
"CompanyStartup",31256.3004912911,60458.5054161366,0.516987647579998,0.605170371156818,""
"CompanyState Farm",37138.650781806,63198.2600890801,0.587653057686363,0.556771676649331,""
"CompanyState Street",5804.81699787466,71737.5933935715,0.0809173645682243,0.935508461930009,""
"CompanyStitch Fix",75718.6990199561,66873.2616171499,1.13227166118271,0.257533512436622,""
"CompanyStripe",213419.992831779,54714.0634058771,3.90064234945589,9.62444844063401e-05,"***"
"CompanySurveymonkey",67599.3620821574,61006.8988769948,1.10806094599981,0.267848523921294,""
"CompanySymantec",24623.2649272361,57563.7880504043,0.427756159926017,0.668833160741816,""
"CompanySynopsys",-32520.2156517597,58143.3977505227,-0.559310547885333,0.575955921257579,""
"CompanySysdig",7188.62170355317,71566.7056433571,0.100446452563804,0.919990876778819,""
"CompanyT-Mobile",-10899.8565378188,55143.1212519614,-0.197664845412266,0.843309260302399,""
"CompanyTableau Software",132196.093914579,55760.8688769464,2.37076818523597,0.0177603734694213,"*"
"CompanyTarget",9641.97204781126,57455.0288353761,0.167817721847083,0.866728339184662,""
"CompanyTata Consultancy Services",-46308.3466825621,62333.073874542,-0.742917745012337,0.457540012963245,""
"CompanyTenable",55086.7172820515,68858.4522112198,0.799999353936621,0.423720461450342,""
"CompanyTencent",88000.3119508791,119171.815218559,0.738432252537969,0.460260293147681,""
"CompanyTeradata",16070.7406530224,71769.668272816,0.223921066374909,0.822820959515156,""
"CompanyTesla",109865.198937925,55288.1095491453,1.98713972739954,0.0469202296734376,"*"
"CompanyTexas Instruments",11913.342163027,63117.1619520118,0.18874964897954,0.850290909106644,""
"CompanyThe Home Depot",12019.613492169,62767.8991048537,0.191493003009233,0.848141262483865,""
"CompanyThe New York Times",-9589.78529019943,61663.4517855922,-0.155518139392257,0.876414389240481,""
"CompanyThoughtworks",-33721.8824279723,63117.8905386034,-0.534268210490142,0.593161788927231,""
"CompanyThumbtack",34950.3145604095,65335.0954511543,0.534939366340086,0.592697600206591,""
"CompanyTicketmaster",14750.1447703935,61156.864952455,0.241185429989923,0.809413820120436,""
"CompanyTinder",135650.680763452,65281.1462683944,2.07794575490054,0.0377267960159382,"*"
"CompanyToyota Research Institute",126564.735772711,93016.7265911896,1.36066641356845,0.173634124358149,""
"CompanyTripadvisor",55589.0296988674,61620.5204531135,0.902118795656141,0.367004387079487,""
"CompanyTune",-35177.9727962835,81441.4100838204,-0.431942088921077,0.665788056122539,""
"CompanyTwilio",152692.824682246,55322.7263964484,2.76003795597551,0.00578460833072209,"**"
"CompanyTwitch",84225.6211697041,57993.1731168356,1.45233682937162,0.146423309303937,""
"CompanyTwitter",153229.49307825,53974.4840883451,2.83892464497567,0.00453104442276307,"**"
"CompanyTwo Sigma",143517.60439777,55895.8778467847,2.56758834329723,0.0102479076633613,"*"
"CompanyUber",165772.978610613,53580.579497818,3.09390044236763,0.00197810028322891,"**"
"CompanyUbs",-23085.030150956,66902.5812033085,-0.345054402023795,0.730057020125717,""
"CompanyUdemy",35814.4881601408,75414.853375,0.474899659116931,0.634863564440048,""
"CompanyUipath",181419.539144221,63122.0066178865,2.87410918734662,0.00405586274528572,"**"
"CompanyUnder Armour",-4170.42459560932,69020.165273538,-0.0604232774448056,0.951819110075733,""
"CompanyUnity Technologies",8861.93210158636,71530.8059513152,0.123889728121027,0.901403803295221,""
"CompanyUnknown",33387.4719301067,92480.4022241096,0.361022131469522,0.71808663088991,""
"CompanyUsaa",14929.7190101212,56157.7613480448,0.265853172415338,0.790354969793872,""
"CompanyVanguard",40475.6646947122,81882.0743784511,0.494316552211874,0.621087945346243,""
"CompanyVeeva Systems",17569.4033485126,71544.9111141582,0.245571670645849,0.806016284928698,""
"CompanyVeritas Technologies",-35985.6849353177,62246.9171442011,-0.578111922425867,0.563194922074331,""
"CompanyVerizon",25652.068903938,56201.2467924215,0.456432381272314,0.648083930864152,""
"CompanyViasat",10505.0418901184,81496.8996022645,0.128901123127223,0.897437155207146,""
"CompanyVimeo",14818.0988263254,65371.0330094102,0.226676834435098,0.820677306694646,""
"CompanyVisa",8402.90353706012,56111.9159999887,0.14975256836822,0.880961308571948,""
"CompanyVistaprint",28114.4239870881,71750.3088465635,0.391836975185851,0.695182754804016,""
"CompanyVmware",56086.1117013791,53722.7559319653,1.04399170758117,0.296501563173883,""
"CompanyVrbo",34876.0264864058,75460.0798283443,0.462178499754325,0.643958235559196,""
"CompanyWalmart",66084.9825864053,54083.6225268645,1.2219037760198,0.221758097589834,""
"CompanyWarnermedia",-45688.4683394852,75538.3762010036,-0.604837840542278,0.545293456865395,""
"CompanyWayfair",66498.2517274154,54331.7967289612,1.22392881757891,0.220993178045047,""
"CompanyWaymo",121277.03761881,64034.9840022374,1.8939184495552,0.0582499299289966,"."
"CompanyWells Fargo",35819.3922555077,57997.5881453204,0.617601410695865,0.536844989361191,""
"CompanyWepay",93442.1263149554,68853.0578122843,1.35712384146698,0.174756837796525,""
"CompanyWestern Digital",-7114.46266879117,59979.3109742019,-0.118615278389097,0.905581325095783,""
"CompanyWework",78488.7862755368,55177.5085297992,1.42247789664421,0.1549028118335,""
"CompanyWish",117717.435172131,63117.4824994983,1.86505276367869,0.0621883157667741,"."
"CompanyWorkday",53674.3098672644,54368.1941928998,0.987237311521265,0.323537991224714,""
"CompanyXandr",53266.7902841288,65364.6715700459,0.814917125790913,0.415129236753992,""
"CompanyXero",-34479.8231098087,71540.3381113588,-0.481963379263568,0.629837117530125,""
"CompanyXilinx",25433.0053033729,62213.8277612903,0.408799879682012,0.682690807705786,""
"CompanyYahoo",56589.0673950217,54357.3144655966,1.04105708590217,0.29786135866531,""
"CompanyYelp",65537.9707928948,54437.2766035737,1.20391714798959,0.228635534015951,""
"CompanyYext",69556.76933717,62324.9710198993,1.11603372129867,0.264420810045278,""
"CompanyZendesk",45494.1344214764,59313.4464012816,0.767012156294014,0.443083139952899,""
"CompanyZillow",71690.7897498183,54367.2006603796,1.31864044642753,0.187304107743539,""
"CompanyZocdoc",3179.5115633949,71584.3732397023,0.0444162799714432,0.964573018451626,""
"CompanyZoom",-7358.42262957256,75367.1965137782,-0.0976342887880583,0.922223652607453,""
"CompanyZoox",99235.932283919,68868.5051846539,1.44094796333741,0.149614690521907,""
"CompanyZulily",19221.3226067425,64102.6610343783,0.299852179247817,0.764292958897743,""
"CompanyZynga",84364.4784704596,65325.1298846587,1.29145519678901,0.196560473691771,""
"GenderMale",13637.5799612263,2479.655659664,5.49978780645462,3.84800449290484e-08,"***"
"GenderNo gender provided",16854.2535676567,2757.08398583618,6.11307223655179,9.95010957742386e-10,"***"
"GenderOther",11482.9798536735,8291.22687420316,1.38495545085142,0.166081193406496,""
"RaceAmerican Indian or Alaska Native",-70326.7740913357,37863.3052064912,-1.85738602871043,0.0632706136524392,"."
"RaceAsian",-3714.86405505837,3033.51705690246,-1.22460628550137,0.220737700647764,""
"RaceBlack or African American",-8166.98760114918,10694.6523361179,-0.763651528303328,0.445083740784685,""
"RaceHispanic / Latino",-19458.0563065564,8206.21996723137,-2.37113511266518,0.0177427557809748,"*"
"RaceNative Hawaiian or Other Pacific Islander",-36359.651157332,34259.1666912836,-1.06131160413142,0.288560843774777,""
"RaceTwo or More Races",194.783951620122,9726.16629789321,0.0200267963403334,0.984022191785171,""
"RaceWhite",-5948.84542073297,3498.63179655432,-1.70033480704994,0.0890831676667387,"."
"GRADDEG_CY_sqmi",-2059.87095249029,637.198053231376,-3.23270126461343,0.00122819980141954,"**"
"MINORITYCY_sqmi",196.557999535435,74.6456975334894,2.63321271058189,0.00846449548229203,"**"
"UNEMP_CY_sqmi",-643.487412877298,458.473159017787,-1.40354435198753,0.160469755601093,""
"OCCMGMT_CY_sqmi",4641.28611017475,1594.99176744093,2.90991226720964,0.00361919793713251,"**"
"OCCCOMP_CY_sqmi",-2699.24207980623,1698.73749901818,-1.58896950315532,0.11208273240791,""
"OCCLEGL_CY_sqmi",-9035.91415931221,2997.54175699206,-3.01444146298715,0.00257768371899989,"**"
"OCCHTCH_CY_sqmi",-2748.81352940301,1651.75406850268,-1.66417845236174,0.0960920890808323,"."
"OCCSALE_CY_sqmi",-3952.64324723518,1787.46186247832,-2.21131612942769,0.0270249688367277,"*"
"OCCPROD_CY_sqmi",-4590.7264540298,1849.47474065079,-2.48217850891785,0.0130661463929357,"*"
"OCCTRAN_CY_sqmi",2121.54680362854,1227.15376408734,1.72883534705725,0.0838536561650472,"."
"N06_BUS_sqmi",75184.7112068829,42456.2906648478,1.77087329179073,0.0765966632685426,"."
"N10_BUS_sqmi",-453457.940765345,209432.770002657,-2.16517186283499,0.0303860488323938,"*"
"N18_BUS_sqmi",497779.49897752,197356.220371437,2.52223871150688,0.0116685786436706,"*"
"N23_BUS_sqmi",-235841.498157574,79979.6363064003,-2.94876932490753,0.00319402790505532,"**"
"N25_BUS_sqmi",464085.039104929,164160.246060566,2.82702450953752,0.00470283244855197,"**"
"N29_BUS_sqmi",178894.312745618,60170.8862237084,2.97310417002185,0.00295147881392511,"**"
"N30_BUS_sqmi",-770467.480667857,341316.261904298,-2.25734184585641,0.0239972228940192,"*"
"N35_BUS_sqmi",-78779.5914427695,32497.6784437251,-2.4241605928617,0.0153524276454028,"*"
"OWNER_CY_sqmi",1106.32055162624,318.370996659234,3.47494138359087,0.000512023364703229,"***"
"RENTER_CY_sqmi",1648.21314078362,461.035394794711,3.57502517028553,0.000351000734285741,"***"
"N40_BUS_sqmi",84575.7426666748,34737.3075080498,2.43472360795596,0.0149116589671948,"*"
